Task,Category
"reply to emails","Urgent but Not Important"  
"confirm dinner plans","Urgent but Not Important"  
"send a meeting reminder","Urgent but Not Important"  
"order office supplies","Urgent but Not Important"  
"forward the invoice","Urgent but Not Important"  
"pick up snacks","Urgent but Not Important"  
"check printer paper","Urgent but Not Important"  
"call for a delivery update","Urgent but Not Important"  
"book a meeting room","Urgent but Not Important"  
"replace stapler","Urgent but Not Important"  
"remind team about lunch","Urgent but Not Important"  
"update email signature","Urgent but Not Important"  
"schedule a photo session","Urgent but Not Important"  
"arrange desk toys","Urgent but Not Important"  
"replace whiteboard markers","Urgent but Not Important"  
"check fridge contents","Urgent but Not Important"  
"share event photos","Urgent but Not Important"  
"send RSVP for dinner","Urgent but Not Important"  
"call IT support","Urgent but Not Important"  
"fix pantry light","Urgent but Not Important"  
"plan desk decoration","Urgent but Not Important"  
"set up a meeting invite","Urgent but Not Important"  
"pick lunch spot","Urgent but Not Important"  
"share holiday agenda","Urgent but Not Important"  
"buy office snacks","Urgent but Not Important"  
"test coffee machine","Urgent but Not Important"  
"print meeting notes","Urgent but Not Important"  
"find replacement chairs","Urgent but Not Important"  
"check stationery stock","Urgent but Not Important"  
"post event pictures","Urgent but Not Important"  
"arrange a team lunch","Urgent but Not Important"  
"organize farewell card","Urgent but Not Important"  
"review office schedule","Urgent but Not Important"  
"confirm meeting time","Urgent but Not Important"  
"update bulletin board","Urgent but Not Important"  
"list lunch options","Urgent but Not Important"  
"schedule maintenance","Urgent but Not Important"  
"send thank-you notes","Urgent but Not Important"  
"prepare casual invites","Urgent but Not Important"  
"reserve a meeting room","Urgent but Not Important"  
"share a fun memo","Urgent but Not Important"  
"plan casual meetup","Urgent but Not Important"  
"write event captions","Urgent but Not Important"  
"organize desk cleanup","Urgent but Not Important"  
"confirm travel details","Urgent but Not Important"  
"send event reminders","Urgent but Not Important"  
"finalize seating plan","Urgent but Not Important"  
"select casual playlist","Urgent but Not Important"  
"arrange office decor","Urgent but Not Important"  
"book refreshments","Urgent but Not Important"  
"update team on delay","Urgent but Not Important"  
"fetch coffee for meeting","Urgent but Not Important"  
"notify cleaner for spill","Urgent but Not Important"  
"reschedule casual call","Urgent but Not Important"  
"collect printed documents","Urgent but Not Important"  
"buy markers for board","Urgent but Not Important"  
"confirm ride to office","Urgent but Not Important"  
"adjust room thermostat","Urgent but Not Important"  
"submit casual expense form","Urgent but Not Important"  
"find extension cable","Urgent but Not Important"  
"borrow a spare notebook","Urgent but Not Important"  
"add a holiday reminder","Urgent but Not Important"  
"take out office trash","Urgent but Not Important"  
"test projector connection","Urgent but Not Important"  
"fix a loose chair wheel","Urgent but Not Important"  
"notify team about snacks","Urgent but Not Important"  
"tidy up office pantry","Urgent but Not Important"  
"share an interesting link","Urgent but Not Important"  
"confirm team lunch slot","Urgent but Not Important"  
"pick a birthday gift","Urgent but Not Important"  
"schedule routine inspection","Urgent but Not Important"  
"check if AC is working","Urgent but Not Important"  
"contact service for lights","Urgent but Not Important"  
"remind about casual meeting","Urgent but Not Important"  
"call for water delivery","Urgent but Not Important"  
"set up a reminder alert","Urgent but Not Important"  
"organize office files","Urgent but Not Important"  
"label shared folders","Urgent but Not Important"  
"buy office tissues","Urgent but Not Important"  
"prepare water bottles","Urgent but Not Important"  
"bring spare charging cables","Urgent but Not Important"  
"reserve table for coffee","Urgent but Not Important"  
