Task,Category,text_length
finish quarterly report,urgent important,23
schedule meeting with client x,urgent important,30
respond to urgent email,urgent not-important,23
clean desk,not-urgent not-important,10
learn new programming language,not-urgent important,30
pay monthly bill,urgent not-important,16
exercise regularly,not-urgent important,18
read book on leadership,not-urgent important,23
attend networking event,not-urgent important,23
plan vacation,not-urgent important,13
submit expense report,urgent not-important,21
review employee performance,urgent important,27
update website content,not-urgent important,22
fix broken printer,urgent not-important,18
organize file,not-urgent not-important,13
attend conference,not-urgent important,17
write monthly newsletter,not-urgent important,24
create marketing plan,not-urgent important,21
hire new team member,urgent important,20
develop new product,urgent important,19
complete online course,not-urgent important,22
volunteer at local charity,not-urgent important,26
attend team meeting,urgent not-important,19
respond to customer inquiry,urgent not-important,27
update social medium profile,not-urgent important,28
meal prep for the week,not-urgent not-important,22
pay credit card bill,urgent not-important,20
clean out garage,not-urgent not-important,16
write blog post,not-urgent important,15
create presentation for meeting,urgent important,31
update resume,not-urgent important,13
learn new skill,not-urgent important,15
attend webinar,not-urgent important,14
network with industry professional,not-urgent important,34
set goal for the year,not-urgent important,21
review financial statement,urgent important,26
update project timeline,urgent important,23
brainstorm new idea,not-urgent important,19
delegate task to team member,urgent not-important,28
organize personal finance,not-urgent important,25
read industry news,not-urgent important,18
attend professional development workshop,not-urgent important,40
review and update marketing strategy,not-urgent important,36
optimize website for seo,not-urgent important,24
create content calendar,not-urgent important,23
analyze website traffic,not-urgent important,23
run social medium ad,urgent important,20
create email marketing campaign,urgent important,31
update sale pipeline,urgent important,20
close deal with potential client,urgent important,32
onboard new client,urgent important,18
follow up with lead,urgent not-important,19
attend industry trade show,not-urgent important,26
develop sale strategy,not-urgent important,21
train sale team,urgent important,15
create sale report,urgent not-important,18
analyze sale data,not-urgent important,17
improve customer satisfaction,urgent important,29
resolve customer complaint,urgent important,26
build relationship with key client,not-urgent important,34
implement new crm system,urgent important,24
update client contract,urgent not-important,22
review legal document,urgent important,21
negotiate contract with vendor,urgent important,30
manage inventory,urgent not-important,16
