Task,Category
Submit today's assignment deadline,Important & Urgent
Complete group project meeting,Important & Urgent
Study for tomorrow's quiz,Important & Urgent
Submit late homework pass request,Important & Urgent
Attend mandatory class session,Important & Urgent
Complete online test before midnight,Important & Urgent
Submit class participation report,Important & Urgent
Complete peer review deadline,Important & Urgent
Attend lab practical session,Important & Urgent
Submit discussion post deadline,Important & Urgent
Complete attendance makeup form,Important & Urgent
Submit course reflection paper,Important & Urgent
Complete week's lab assignment,Important & Urgent
Submit weekly progress report,Important & Urgent
Attend required study session,Important & Urgent
Review next week's material,Important & Not Urgent
Prepare study notes in advance,Important & Not Urgent
Practice problem sets,Important & Not Urgent
Review lecture recordings,Important & Not Urgent
Summarize textbook chapters,Important & Not Urgent
Create exam study guides,Important & Not Urgent
Practice lab techniques,Important & Not Urgent
Review feedback comments,Important & Not Urgent
Prepare presentation slides,Important & Not Urgent
Update study schedule,Important & Not Urgent
Review class notes,Important & Not Urgent
Practice sample questions,Important & Not Urgent
Prepare group project materials,Important & Not Urgent
Review past assignments,Important & Not Urgent
Organize study materials,Important & Not Urgent
Complete optional readings,Important & Not Urgent
Practice presentation,Important & Not Urgent
Review course syllabus,Important & Not Urgent
Create assignment timeline,Important & Not Urgent
Prepare questions for office hours,Important & Not Urgent
Check discussion board replies,Not Important & Urgent
Reply to classmate emails,Not Important & Urgent
Submit attendance record,Not Important & Urgent
Check grade updates,Not Important & Urgent
Reserve study room,Not Important & Urgent
Print lecture slides,Not Important & Urgent
Update assignment tracker,Not Important & Urgent
Check course announcements,Not Important & Urgent
Submit extra credit form,Not Important & Urgent
Update digital calendar,Not Important & Urgent
Check library due dates,Not Important & Urgent
Submit class survey,Not Important & Urgent
Update study group chat,Not Important & Urgent
Check assignment feedback,Not Important & Urgent
Update todo list,Not Important & Urgent
Submit class preferences,Not Important & Urgent
Check campus events,Not Important & Urgent
Update study schedule,Not Important & Urgent
Check exam schedule,Not Important & Urgent
Update class materials,Not Important & Urgent
Browse social media study groups,Not Important & Not Urgent
Customize study playlist,Not Important & Not Urgent
Organize laptop files,Not Important & Not Urgent
Update study apps,Not Important & Not Urgent
Rearrange study desk,Not Important & Not Urgent
Chat with classmates,Not Important & Not Urgent
Browse educational YouTube,Not Important & Not Urgent
Update study aesthetics,Not Important & Not Urgent
Organize digital notes,Not Important & Not Urgent
Create study ambiance,Not Important & Not Urgent
Browse study supplies,Not Important & Not Urgent
Update study wallpaper,Not Important & Not Urgent
Organize study snacks,Not Important & Not Urgent
Browse study tips,Not Important & Not Urgent
Update study playlist,Not Important & Not Urgent
Organize phone apps,Not Important & Not Urgent
Browse study motivation quotes,Not Important & Not Urgent
Update study corner,Not Important & Not Urgent
Organize study break activities,Not Important & Not Urgent
Update study routine,Not Important & Not Urgent
Check academic social media,Not Important & Not Urgent
Update study environment,Not Important & Not Urgent
Browse study gadgets,Not Important & Not Urgent
Update study tracker app,Not Important & Not Urgent
Organize digital bookmarks,Not Important & Not Urgent
Update study rewards,Not Important & Not Urgent
Browse study techniques,Not Important & Not Urgent
Update study goals list,Not Important & Not Urgent
Organize study breaks,Not Important & Not Urgent
Update study progress,Not Important & Not Urgent
Browse study methods,Not Important & Not Urgent
Update study schedule design,Not Important & Not Urgent
Organize study resources,Not Important & Not Urgent
Update study motivation board,Not Important & Not Urgent
Browse study blogs,Not Important & Not Urgent
Update study routine checklist,Not Important & Not Urgent
Organize study area,Not Important & Not Urgent
Update study progress tracker,Not Important & Not Urgent
Browse study podcasts,Not Important & Not Urgent
Update study timeline,Not Important & Not Urgent
Organize study apps,Not Important & Not Urgent
Update study method list,Not Important & Not Urgent
Browse study websites,Not Important & Not Urgent
Update study checklist,Not Important & Not Urgent
Organize study schedule,Not Important & Not Urgent
