Task,Category
Submit final thesis deadline,Important & Urgent
Complete scholarship application,Important & Urgent
Study for tomorrow's exam,Important & Urgent
Submit research paper revision,Important & Urgent
Register for required courses,Important & Urgent
Appeal academic probation,Important & Urgent
Complete lab safety training,Important & Urgent
Submit financial aid documents,Important & Urgent
Finish group project deadline,Important & Urgent
Schedule thesis defense,Important & Urgent
Complete course withdrawal form,Important & Urgent
Submit internship application,Important & Urgent
Address academic misconduct case,Important & Urgent
Complete graduation requirements,Important & Urgent
Submit housing application,Important & Urgent
Create study schedule,Important & Not Urgent
Research graduate schools,Important & Not Urgent
Build professional network,Important & Not Urgent
Learn new programming language,Important & Not Urgent
Practice presentation skills,Important & Not Urgent
Develop research skills,Important & Not Urgent
Join academic societies,Important & Not Urgent
Build portfolio projects,Important & Not Urgent
Learn time management skills,Important & Not Urgent
Practice interview skills,Important & Not Urgent
Start side projects,Important & Not Urgent
Learn foreign language,Important & Not Urgent
Build writing skills,Important & Not Urgent
Explore research opportunities,Important & Not Urgent
Develop leadership skills,Important & Not Urgent
Create career plan,Important & Not Urgent
Build personal brand,Important & Not Urgent
Learn public speaking,Important & Not Urgent
Develop critical thinking,Important & Not Urgent
Build technical skills,Important & Not Urgent
Update course calendar,Not Important & Urgent
Print lecture slides,Not Important & Urgent
Buy textbooks,Not Important & Urgent
Schedule study group,Not Important & Urgent
Submit club membership form,Not Important & Urgent
Return library books,Not Important & Urgent
Get student ID card,Not Important & Urgent
Schedule academic advising,Not Important & Urgent
Update student profile,Not Important & Urgent
Submit parking permit,Not Important & Urgent
Order graduation gown,Not Important & Urgent
Schedule gym sessions,Not Important & Urgent
Submit club attendance,Not Important & Urgent
Register for campus events,Not Important & Urgent
Update student email,Not Important & Urgent
Book study room,Not Important & Urgent
Submit routine assignments,Not Important & Urgent
Schedule club meetings,Not Important & Urgent
Update class schedule,Not Important & Urgent
Order course materials,Not Important & Urgent
Customize laptop setup,Not Important & Not Urgent
Organize study playlist,Not Important & Not Urgent
Decorate dorm room,Not Important & Not Urgent
Update social media profile,Not Important & Not Urgent
Browse campus store,Not Important & Not Urgent
Organize phone apps,Not Important & Not Urgent
Create study ambiance,Not Important & Not Urgent
Design note templates,Not Important & Not Urgent
Customize planner layout,Not Important & Not Urgent
Update device wallpapers,Not Important & Not Urgent
Organize digital notes,Not Important & Not Urgent
Design study corner,Not Important & Not Urgent
Create mood boards,Not Important & Not Urgent
Organize study supplies,Not Important & Not Urgent
Update reading list,Not Important & Not Urgent
Design study routine,Not Important & Not Urgent
Create productivity system,Not Important & Not Urgent
Update study aesthetics,Not Important & Not Urgent
Organize study music,Not Important & Not Urgent
Design study space,Not Important & Not Urgent
Browse study accessories,Not Important & Not Urgent
Update study schedule design,Not Important & Not Urgent
Create study atmosphere,Not Important & Not Urgent
Design revision cards,Not Important & Not Urgent
Organize study break activities,Not Important & Not Urgent
Update study environment,Not Important & Not Urgent
Create study motivation board,Not Important & Not Urgent
Design study tracker,Not Important & Not Urgent
Update study desk layout,Not Important & Not Urgent
Create study routine checklist,Not Important & Not Urgent
Design study progress charts,Not Important & Not Urgent
Update study goals visuals,Not Important & Not Urgent
Create study reward system,Not Important & Not Urgent
Design study habit tracker,Not Important & Not Urgent
Update study method visuals,Not Important & Not Urgent
Create study timeline design,Not Important & Not Urgent
Design study milestone tracker,Not Important & Not Urgent
Update study focus timer,Not Important & Not Urgent
Create study session planner,Not Important & Not Urgent
Design study break timer,Not Important & Not Urgent
Update study progress board,Not Important & Not Urgent
Create study accountability chart,Not Important & Not Urgent
Design study reflection journal,Not Important & Not Urgent
Update study strategy visuals,Not Important & Not Urgent
Create study productivity log,Not Important & Not Urgent
Design study success tracker,Not Important & Not Urgent
Update study routine visuals,Not Important & Not Urgent
