Task,Category
"Review notes from last lecture","Important but Not Urgent"
"Study for upcoming quiz","Urgent & Important"
"Update semester planner","Important but Not Urgent"
"Research internship opportunities","Important but Not Urgent"
"Schedule time with a tutor","Urgent & Important"
"Organize study notes","Not Urgent & Not Important"
"Practice sample test questions","Important but Not Urgent"
"Submit class project","Urgent & Important"
"Review class syllabus","Important but Not Urgent"
"Check due dates for assignments","Urgent & Important"
"Plan for next week's assignments","Important but Not Urgent"
"Meet with professor during office hours","Important but Not Urgent"
"Write discussion post for online class","Urgent & Important"
"Proofread essay before submission","Urgent & Important"
"Organize study materials by subject","Not Urgent & Not Important"
"Prepare flashcards for vocabulary","Important but Not Urgent"
"Complete extra credit assignment","Not Urgent & Not Important"
"Practice public speaking for class","Important but Not Urgent"
"Set reminders for exam dates","Important but Not Urgent"
"Read assigned book chapters","Important but Not Urgent"
"Review professor's feedback on paper","Important but Not Urgent"
"Watch supplemental videos for class","Important but Not Urgent"
"Create a study playlist","Not Urgent & Not Important"
"Check grades online","Urgent & Important"
"Catch up on missed readings","Important but Not Urgent"
"Organize digital study resources","Not Urgent & Not Important"
"Plan weekend study session","Important but Not Urgent"
"Attend campus club meeting","Not Urgent & Not Important"
"Set up a study group with classmates","Important but Not Urgent"
"Research scholarship options","Important but Not Urgent"
"Schedule academic advisor meeting","Important but Not Urgent"
"Attend professor's office hours","Important but Not Urgent"
"Create a study calendar for finals","Important but Not Urgent"
"Practice for upcoming oral exam","Urgent & Important"
"Organize backpack for next day","Not Urgent & Not Important"
"Complete online discussion post","Urgent & Important"
"Update resume for job applications","Important but Not Urgent"
"Look into study abroad programs","Important but Not Urgent"
"Prepare for group project meeting","Urgent & Important"
"Brainstorm ideas for research paper","Important but Not Urgent"
"Practice coding exercises","Important but Not Urgent"
"Submit weekly reflection journal","Urgent & Important"
"Research topics for class presentation","Important but Not Urgent"
"Plan meals for the week","Not Urgent & Not Important"
"Set a timer for study breaks","Important but Not Urgent"
"Review lecture recordings","Important but Not Urgent"
"Apply for on-campus job","Important but Not Urgent"
"Check in on group project progress","Urgent & Important"
"Create a list of study topics","Important but Not Urgent"
"Schedule exam preparation time","Important but Not Urgent"
"Attend library study session","Not Urgent & Not Important"
"Review previous exam questions","Important but Not Urgent"
"Write outline for term paper","Important but Not Urgent"
"Attend extra lab practice session","Urgent & Important"
"Write down study goals","Not Urgent & Not Important"
"Organize notes by topic","Not Urgent & Not Important"
"Practice language skills with partner","Important but Not Urgent"
"Create an exam study guide","Important but Not Urgent"
"Organize dorm room","Not Urgent & Not Important"
"Set up reminders for homework deadlines","Important but Not Urgent"
"Ask professor for study tips","Important but Not Urgent"
"Attend guest lecture on campus","Not Urgent & Not Important"
"Read a relevant research article","Important but Not Urgent"
"Prepare for mock interview","Important but Not Urgent"
"Organize semester study materials","Not Urgent & Not Important"
"Check library hours","Not Urgent & Not Important"
"Update list of goals for semester","Not Urgent & Not Important"
"Attend academic success workshop","Important but Not Urgent"
"Brainstorm ideas for thesis topic","Important but Not Urgent"
"Create a spreadsheet for tracking grades","Not Urgent & Not Important"
"Look up class study resources","Not Urgent & Not Important"
"Draft lab report","Urgent & Important"
"Check campus event schedule","Not Urgent & Not Important"
"Attend mental health workshop","Important but Not Urgent"
"Research grants and financial aid","Important but Not Urgent"
"Create a study group calendar","Not Urgent & Not Important"
"Practice essay writing skills","Important but Not Urgent"
"Set personal academic goals","Not Urgent & Not Important"
"Apply for student club membership","Not Urgent & Not Important"
"Check deadlines for applications","Important but Not Urgent"
"Review notes with classmate","Important but Not Urgent"
"Plan schedule for finals week","Important but Not Urgent"
"Write summary of lecture notes","Important but Not Urgent"
"Find a quiet study spot on campus","Not Urgent & Not Important"
"Take a practice quiz","Important but Not Urgent"
"Prepare questions for class","Important but Not Urgent"
"Follow up with professor on project feedback","Important but Not Urgent"
"Review lab safety guidelines","Important but Not Urgent"
"Attend volunteer information session","Not Urgent & Not Important"
"Participate in class discussion","Urgent & Important"
"Practice presentation for class","Urgent & Important"
"Set reminders for assignment due dates","Important but Not Urgent"
"Read course-related news article","Important but Not Urgent"
"Organize study flashcards","Not Urgent & Not Important"
"Write notes for research paper","Important but Not Urgent"
"Prepare list of questions for exam review","Important but Not Urgent"
"Apply for summer internship","Important but Not Urgent"
"Complete pre-lab questions","Urgent & Important"
"Sign up for campus career fair","Important but Not Urgent"
"Review study topics for quiz","Important but Not Urgent"
"Plan research project timeline","Important but Not Urgent"
"Check availability of study rooms","Not Urgent & Not Important"
